nappy run log  2026-09-12T20:50:23  version v0.8.2-870-g6ff43b3

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s  invincible
   0.0  crowd    a car sounded its horn at her in the road at (135,3) | exc 0, in 0.0/s (crowd 4.5, events 0.0), sleep 31
   0.0  cross    stepped into the road at (135,3), mid-block
   0.0  cue      the mark over her head: soon for 0.0s (1.9s of it on the road) | a car, and she is in the road
   0.0  cross    stepped into the road at (142,2), mid-block
   0.0  near     scaffolding at (150,5), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 33
   0.0  turn     doubled back 270°
   0.0  near     skip at (150,1), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 34
   0.0  cross    stepped into the road at (147,2), mid-block
   0.0  near     scaffolding at (150,5), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 34
   0.0  near     skip at (150,1), 65px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 34
   0.0  near     scaffolding at (150,5), 66px, exc 0, in 0.0/s (crowd 1.9, events 0.0), sleep 34
   0.0  crowd    a car sounded its horn at her in the road at (153,3) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 35
   0.0  near     delivery_van at (158,6), 150px, exc 0, in 0.0/s (crowd 20.2, events 0.0), sleep 35
   0.0  near     delivery_van at (158,6), 82px, exc 0, in 0.0/s (crowd 53.7, events 0.0), sleep 35
   0.0  cue      the mark over her head: soon for 0.0s (3.3s of it on the road) | a car, and she is in the road
   0.0  crowd    a car sounded its horn at her in the road at (157,3) | exc 0, in 0.0/s (crowd 37.1, events 0.0), sleep 33
   0.0  cue      the mark over her head: soon for 0.0s (0.7s of it on the road) | a car, and she is in the road
   0.0  turn     doubled back 225°
   0.0  near     delivery_van at (158,6), 150px, exc 0, in 0.0/s (crowd 9.5, events 0.0), sleep 34
   0.0  cross    stepped into the road at (157,2), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (157,2) | exc 0, in 0.0/s (crowd 9.8, events 0.0), sleep 34
   0.0  cue      the mark over her head: soon for 0.0s (0.2s of it on the road) | a car, and she is in the road
   0.0  near     delivery_van at (158,6), 82px, exc 0, in 0.0/s (crowd 24.0, events 0.0), sleep 34
   0.0  near     delivery_van at (158,6), 45px, exc 0, in 0.0/s (crowd 5.5, events 0.0), sleep 34
   0.0  turn     doubled back 0°
   0.0  shot     burst started: asked for an animation burst at (159,1) | exc 0, sleep 29 | playing | asked/burst-340857841-010
   0.0  shot     burst complete: 36 frames | duration
   0.0  near     delivery_van at (158,6), 149px, exc 0, in 0.0/s (crowd 1.2, events 0.0), sleep 24
   0.0  turn     doubled back 180°
   0.0  near     delivery_van at (158,6), 82px, exc 0, in 0.0/s (crowd 10.6, events 0.0), sleep 24
   0.0  shot     burst started: asked for an animation burst at (159,4) | exc 0, sleep 24 | playing | asked/burst-347054672-011
   0.0  near     delivery_van at (158,6), 43px, exc 0, in 0.0/s (crowd 8.1, events 0.0), sleep 24
   0.0  near     delivery_van at (158,10), 149px, exc 0, in 0.0/s (crowd 3.3, events 0.0), sleep 25
   0.0  shot     burst complete: 36 frames | duration
   0.0  turn     doubled back 315°
   0.0  cross    stepped into the road at (157,4), at a zebra
   0.0  turn     doubled back 90°
   0.0  shot     burst started: asked for an animation burst at (155,4) | exc 0, sleep 27 | playing | asked/burst-353674523-012
   0.0  near     delivery_van at (155,10), 147px, exc 0, in 0.0/s (crowd 136.2, events 0.0), sleep 27
   0.0  near     delivery_van at (158,10), 150px, exc 0, in 0.0/s (crowd 41.8, events 0.0), sleep 27
   0.0  near     delivery_van at (155,10), 80px, exc 0, in 0.0/s (crowd 28.1, events 0.0), sleep 27
   0.0  cross    stepped into the road at (156,9), mid-block
   0.0  near     delivery_van at (155,10), 43px, exc 0, in 0.0/s (crowd 13.1, events 0.0), sleep 27
   0.0  near     delivery_van at (158,10), 80px, exc 0, in 0.0/s (crowd 12.7, events 0.0), sleep 27
   0.0  near     delivery_van at (158,10), 43px, exc 0, in 0.0/s (crowd 8.9, events 0.0), sleep 28
