nappy rig log  2026-09-19T18:35:56  version v0.13.0-38-g9a07dbd5-dirty
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/curbstone.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_front_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_front_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_front_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_side_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_front_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_back_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_side_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_back_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_back_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_back_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_back_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_back_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_back_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_back_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_back_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_back_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_back.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_side_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_back_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_back_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_back_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_back_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_side_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_back_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_back_diagonal.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_side_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_side_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_b.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_back_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_side_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_side_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_back_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_back_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_side_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_side_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_side.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_side_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_side_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_front_diagonal.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_front.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  atlas decoration ready: 12 pictures in 423x54, 300.9 ms from request (0.0 ms packed off the main thread)

day 1  act 1  run seed 90210  city seed 90210  length 180.0s  invincible
   0.0  texture  ground packed: 66 sources over 65 pictures into 2035x100 in 0.8 ms
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 1]
   0.0  texture  atlas crowd ready: 30 pictures in 823x48, 1.0 ms from request (0.0 ms packed off the main thread)
   0.0  plan     closed: accident v(6,7)
   0.0  plan     calm: 1 quiet_square, 2 forest, 2 park, 4 courtyard
   0.0  plan     events: alley_mouse x4, burst_water_main x24, cafe_tables x74, car_accident x23, cat_dash x8, chatting_mother x2, delivery_van x54, dog_walker x26, fallen_tree, homeless_yeller x11, leaf_blower x14, loose_dog x13, market_stall x61, moving_van x22, pigeon_flock x5, playground x2, scaffolding x26, skip x22
   0.0  start    doorstep (80,84), facing 180°
   0.0  texture  atlas stroller ready: 65 pictures in 1746x48, 1257.4 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas head_indicators ready: 5 pictures in 128x28, 1257.0 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/cafe ready: 11 pictures in 196x32, 283.6 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/delivery_van ready: 5 pictures in 234x52, 283.0 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/dog_walker ready: 20 pictures in 525x44, 282.9 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/yeller ready: 10 pictures in 271x46, 282.4 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/stall ready: 1 pictures in 28x38, 282.0 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/birds ready: 10 pictures in 223x20, 281.8 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/leaf_blower ready: 10 pictures in 351x44, 281.5 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/burst_main ready: 2 pictures in 253x202, 280.9 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/car_accident ready: 4 pictures in 505x202, 280.9 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/moving_van ready: 2 pictures in 103x58, 280.6 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/skip ready: 1 pictures in 46x30, 280.5 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/scaffolding ready: 1 pictures in 24x38, 280.4 ms from request (0.0 ms packed off the main thread)
   0.0  crowd    a car sounded its horn at her in the road at (80,86) | exc 0, in 0.0/s (crowd 8.5, events 0.0), sleep 0
   0.0  cross    stepped into the road at (80,86), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (80,86) | exc 0, in 0.0/s (crowd 27.3, events 0.0), sleep 0
   0.0  frame    fps 44, worst frame 274.6ms, draws 893, objects 2219, primitives 11297, process 13.81ms, physics 1.63ms
   0.0  frame    fps 84, worst frame 24.8ms, draws 731, objects 2002, primitives 10754, process 24.79ms, physics 1.29ms
   0.0  near     homeless_yeller (telegraph) at (89,88), 209px, exc 0, in 0.0/s (crowd 0.0, events 0.1), sleep 1
   0.0  frame    fps 90, worst frame 15.1ms, draws 805, objects 2185, primitives 11043, process 15.13ms, physics 1.61ms
   0.0  path     onto the corridor at (86,86), after 0.0s off it
   0.0  near     homeless_yeller at (89,87), 113px, exc 0, in 0.0/s (crowd 3.1, events 10.3), sleep 1
   0.0  near     homeless_yeller at (89,87), 60px, exc 0, in 0.0/s (crowd 6.4, events 9.0), sleep 1
   0.0  frame    fps 89, worst frame 24.7ms, draws 817, objects 2195, primitives 11447, process 15.80ms, physics 1.35ms
   0.0  near     homeless_yeller at (89,86), 30px, exc 0, in 0.0/s (crowd 9.6, events 6.8), sleep 2
   0.0  frame    fps 87, worst frame 24.6ms, draws 748, objects 2023, primitives 11300, process 24.69ms, physics 1.40ms
   0.0  texture  atlas event/mouse ready: 2 pictures in 51x16, 1.5 ms from request (0.0 ms packed off the main thread)
   0.0  frame    fps 87, worst frame 24.2ms, draws 723, objects 2007, primitives 11124, process 24.15ms, physics 1.73ms
   0.0  frame    fps 89, worst frame 23.8ms, draws 721, objects 2001, primitives 11109, process 23.80ms, physics 1.18ms
   0.0  frame    fps 84, worst frame 24.1ms, draws 715, objects 1982, primitives 11026, process 24.12ms, physics 1.28ms
   0.0  cue      the mark over her head: soon for 0.0s (7.5s of it on the road) | a car, and she is in the road
   0.0  near     homeless_yeller at (89,82), 210px, exc 0, in 0.0/s (crowd 4.5, events 1.0), sleep 0
   0.0  frame    fps 86, worst frame 24.4ms, draws 710, objects 1985, primitives 10957, process 24.37ms, physics 1.20ms
   0.0  frame    fps 106, worst frame 24.4ms, draws 705, objects 2004, primitives 10923, process 24.43ms, physics 1.15ms
   0.0  frame    fps 88, worst frame 24.8ms, draws 707, objects 2013, primitives 10968, process 24.77ms, physics 1.34ms
   0.0  frame    fps 85, worst frame 91.1ms, draws 703, objects 2009, primitives 10912, process 24.58ms, physics 1.17ms
   0.0  texture  atlas event/cafe released after 11806.4 ms drawn from
   0.0  texture  atlas event/delivery_van released after 11806.4 ms drawn from
   0.0  texture  atlas event/dog_walker released after 11806.4 ms drawn from
   0.0  texture  atlas event/yeller released after 11806.4 ms drawn from
   0.0  texture  atlas event/stall released after 11806.4 ms drawn from
   0.0  texture  atlas event/birds released after 11806.4 ms drawn from
   0.0  texture  atlas event/leaf_blower released after 11806.3 ms drawn from
   0.0  texture  atlas event/burst_main released after 11806.3 ms drawn from
   0.0  texture  atlas event/car_accident released after 11806.2 ms drawn from
   0.0  texture  atlas event/moving_van released after 11806.2 ms drawn from
   0.0  texture  atlas event/skip released after 11806.2 ms drawn from
   0.0  texture  atlas event/scaffolding released after 11806.2 ms drawn from
   0.0  texture  atlas event/mouse released after 6642.9 ms drawn from
   0.0  texture  atlas stroller released after 11807.3 ms drawn from
   0.0  texture  atlas head_indicators released after 11807.3 ms drawn from
   0.0  texture  atlas decoration released after 13104.7 ms drawn from
