nappy run log  2026-09-20T11:53:24  version v0.13.1-9-ged64fe3b
   3.0  frame    fps 119, worst frame 15.5ms, draws 608, objects 2638, primitives 5664, process 14.22ms, physics 1.52ms
   3.4  cross    stepped into the road at (73,85), at a zebra
   4.0  frame    fps 120, worst frame 14.4ms, draws 610, objects 2618, primitives 5645, process 10.72ms, physics 1.46ms
   4.8  path     onto the corridor at (69,85), after 4.8s off it
   5.0  frame    fps 119, worst frame 10.7ms, draws 424, objects 2172, primitives 4661, process 14.40ms, physics 1.53ms
   5.4  near     homeless_yeller at (61,84), 210px, exc 0, in 0.2/s (crowd 0.0, events 0.2), sleep 2
   6.0  frame    fps 119, worst frame 14.0ms, draws 431, objects 2146, primitives 4705, process 13.97ms, physics 1.49ms
   6.5  near     homeless_yeller at (61,85), 113px, exc 2, in 10.9/s (crowd 0.0, events 10.9), sleep 2
   7.0  frame    fps 120, worst frame 13.9ms, draws 434, objects 2150, primitives 4740, process 10.84ms, physics 1.64ms
   7.2  near     homeless_yeller at (61,86), 61px, exc 5, in 9.7/s (crowd 0.0, events 9.6), sleep 3
   7.6  path     off the corridor at (61,84), after 2.8s on it
   8.0  path     onto the corridor at (61,83), after 0.4s off it
   8.0  frame    fps 119, worst frame 10.6ms, draws 431, objects 1998, primitives 4359, process 13.92ms, physics 1.70ms
   9.0  frame    fps 119, worst frame 14.3ms, draws 434, objects 2011, primitives 4412, process 14.25ms, physics 1.57ms
  10.0  frame    fps 119, worst frame 14.9ms, draws 432, objects 1988, primitives 4372, process 14.90ms, physics 1.64ms
  10.6  near     homeless_yeller at (61,83), 210px, exc 5, in 3.0/s (crowd 1.4, events 2.0), sleep 4
  11.0  frame    fps 120, worst frame 14.4ms, draws 451, objects 2229, primitives 5116, process 10.47ms, physics 1.51ms
  11.5  cross    stepped into the road at (61,73), at a zebra
  12.0  frame    fps 119, worst frame 10.9ms, draws 291, objects 1818, primitives 4305, process 14.38ms, physics 1.53ms
  13.0  frame    fps 119, worst frame 16.7ms, draws 374, objects 2008, primitives 4729, process 14.44ms, physics 1.52ms
  14.1  frame    fps 119, worst frame 16.7ms, draws 287, objects 1726, primitives 4222, process 12.69ms, physics 1.46ms
  15.1  frame    fps 119, worst frame 16.7ms, draws 301, objects 1876, primitives 4669, process 13.76ms, physics 1.50ms
  16.1  frame    fps 117, worst frame 16.7ms, draws 302, objects 1901, primitives 4711, process 16.68ms, physics 1.53ms
  16.8  ahead    loose_dog comes at her from 0px in front of her at (47,71)
  17.1  frame    fps 118, worst frame 16.7ms, draws 299, objects 1895, primitives 4649, process 14.73ms, physics 1.60ms
  17.3  path     off the corridor at (45,71), after 9.2s on it
  17.3  cross    stepped into the road at (45,71), at a signalled crossing
  17.9  near     loose_dog (telegraph) at (39,71), 140px, exc 5, in 6.9/s (crowd 4.3, events 2.7), sleep 7
  18.1  frame    fps 120, worst frame 16.7ms, draws 312, objects 1888, primitives 4491, process 10.71ms, physics 1.68ms
  18.1  near     loose_dog (telegraph) at (41,71), 77px, exc 7, in 6.6/s (crowd 2.1, events 4.3), sleep 7
  18.3  near     loose_dog (telegraph) at (41,71), 42px, exc 8, in 4.0/s (crowd 0.0, events 4.0), sleep 7
  18.4  near     loose_dog (telegraph) at (42,71), 20px, exc 8, in 3.8/s (crowd 0.2, events 3.5), sleep 7
  18.6  path     onto the corridor at (41,71), after 1.4s off it
  19.1  frame    fps 118, worst frame 25.0ms, draws 413, objects 2101, primitives 5037, process 14.65ms, physics 1.53ms
  20.1  frame    fps 116, worst frame 16.7ms, draws 299, objects 1875, primitives 4485, process 23.96ms, physics 1.78ms
  21.1  frame    fps 120, worst frame 16.7ms, draws 299, objects 1847, primitives 4456, process 10.73ms, physics 1.64ms
  22.1  frame    fps 118, worst frame 16.7ms, draws 294, objects 1706, primitives 4104, process 15.58ms, physics 1.74ms
  22.9  cross    stepped into the road at (31,68), mid-block
  23.1  frame    fps 118, worst frame 16.7ms, draws 424, objects 2008, primitives 4406, process 14.37ms, physics 1.53ms
  24.1  frame    fps 120, worst frame 16.7ms, draws 433, objects 2030, primitives 4544, process 14.01ms, physics 1.69ms
  25.1  path     off the corridor at (32,61), after 6.5s on it
  25.1  frame    fps 119, worst frame 16.7ms, draws 433, objects 2233, primitives 4955, process 11.25ms, physics 1.65ms
  25.7  cross    stepped into the road at (31,60), at a zebra
  26.2  frame    fps 119, worst frame 8.3ms, draws 422, objects 2214, primitives 4803, process 13.53ms, physics 1.55ms
  27.2  frame    fps 119, worst frame 16.7ms, draws 253, objects 1803, primitives 4030, process 21.11ms, physics 1.55ms
  27.5  near     moving_van at (29,52), 118px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 11
  28.2  frame    fps 118, worst frame 16.7ms, draws 251, objects 1800, primitives 4000, process 11.53ms, physics 1.53ms
  28.2  turn     doubled back 180°
  28.5  cross    stepped into the road at (29,58), at a zebra
